日期,收盘
2005-04-27,109.2292
2005-04-28,109.0797
2005-04-29,109.1548
2005-04-30,109.3091
2005-05-08,109.3632
2005-05-09,109.3513
2005-05-10,109.3907
2005-05-11,109.3009
2005-05-12,109.3826
2005-05-13,109.5244
2005-05-16,109.2911
2005-05-17,109.1305
2005-05-18,109.4284
2005-05-19,109.6501
2005-05-20,109.7762
2005-05-23,109.9789
2005-05-24,109.9284
2005-05-25,109.9137
2005-05-26,109.9708
2005-05-27,109.9417
2005-05-30,109.9239
2005-05-31,109.8963
2005-06-01,109.9527
2005-06-02,110.0295
2005-06-03,110.0374
2005-06-06,110.06
2005-06-07,110.0564
2005-06-08,110.1667
2005-06-09,110.278
2005-06-10,110.3567
2005-06-13,110.536
2005-06-14,110.3813
2005-06-15,110.7149
2005-06-16,110.8064
2005-06-17,110.9813
2005-06-20,110.9649
2005-06-21,111.0539
2005-06-22,111.0503
2005-06-23,111.0526
2005-06-24,111.0097
2005-06-27,110.9269
2005-06-28,110.8314
2005-06-29,110.8398
2005-06-30,110.9913
2005-07-01,111.08
2005-07-04,111.1138
2005-07-05,111.0799
2005-07-06,111.1683
2005-07-07,111.2588
2005-07-08,111.3804
2005-07-11,111.4906
2005-07-12,111.5375
2005-07-13,111.6745
2005-07-14,111.7047
2005-07-15,111.6182
2005-07-18,111.7691
2005-07-19,111.6143
2005-07-20,111.6135
2005-07-21,111.7641
2005-07-22,111.8104
2005-07-25,111.8077
2005-07-26,111.8484
2005-07-27,111.7571
2005-07-28,111.9398
2005-07-29,111.9497
2005-08-01,112.082
2005-08-02,112.0404
2005-08-03,112.0391
2005-08-04,112.0218
2005-08-05,111.9926
2005-08-08,112.0649
2005-08-09,112.02
2005-08-10,111.9396
2005-08-11,112.0677
2005-08-12,112.1279
2005-08-15,112.0876
2005-08-16,112.1408
2005-08-17,112.1286
2005-08-18,112.1441
2005-08-19,112.1472
2005-08-22,112.1739
2005-08-23,112.3418
2005-08-24,112.2715
2005-08-25,112.2177
2005-08-26,112.1695
2005-08-29,112.2285
2005-08-30,112.2536
2005-08-31,112.1777
2005-09-01,112.2047
2005-09-02,112.2027
2005-09-05,112.18
2005-09-06,112.2616
2005-09-07,112.2694
2005-09-08,112.3582
2005-09-09,112.3313
